,korean,english
1447,제게는 그 게 근거없는 기대처럼 들리는 군요.,That sounds like wishful thinking to me.
1448,그럼 다음 주 토요일 강남 5시쯤 바베큐를 먹으러 가면 어떨까요?,Then how about having barbeque next week Saturday in Gangnam around 5 P.M?
1449,보통 #DMZ# 투어에는 언제 갈 수 있나요?,When can you usually go on a #DMZ# tour?
1450,몸은 피곤했지만 보람찬 날이였어.,I felt so tired but it was a great day.
1451,제 생각에 자동차의 크기 아닌가 싶어요. 북미 소비자들은 중형차를 선호하는 경향이 있어요.,I think it's because of the size of the car. North American consumers tend to prefer midsize vehicles.
1452,답변을 쓰는데 가장 많은 생각을 하게 된 질문이네요.,This is the thought intriguing question to answer.
1453,요청하신 운임에 대하여 다음과 같이 회신을 드려요.,"Regarding the requested fare, here is the answer for the fare."
1454,혹시 디카페인 커피가 있을까요? ,Do you have decaffeinated coffee?
1455,하코네는 도쿄에서 철도로 한 시간 거리이예요.,Hakone is one hour away from Tokyo by train.
1456,내일 나의 친구도 한 명 있어요.,There will be one of my friends too.
1457,두 개의 아이템 납품 진행을 부탁 드려요.,Please proceed the delivery of the two items.
1458,어차피 무료로 늘려 드릴 수도 있으니 걱정하지 마세요.,"Don't worry, we can make it longer for free anyway."
1459,저는 대학교에 와서 다양한 도전을 하고있어요.,I'm facing a lot of challenges in the university.
1460,빠르면 이번주 목요일에 발송할 예정이예요.,It will be delivered this Thursday at the fatest.
1461,"무슨 이야기인지 알겠지만, 저도 밥 먹고 해야 할 일이 있어서.","I know what you're talking about, but I have something to do after dinner."
1462,향수를 사려고요. 20대 여자에게 인기 있는 향수가 어떤 게 있나요?,I would like to buy perfumes. Which perfumes are popular among women in their 20s?
1463,불안해서 여행사에 가 보려고 해요.,I'm going to visit the travel agency because I'm anxious.
1464,문서에 이상한 부품이 있나 확인해 줘.,Please let me know if there's any weird parts on the document.
1465,혹시 이 펜션에서 제일 큰 방은 몇 명까지 묵을 수 있나요?,Up to how many people can stay at the largest room in this pension?
1466,결론은 당신을 잊을 수 없고 지금도 사랑하고 있다는 것이예요.,"In conclusion, I cannot forget you and I still love you."
1467,나는 뛰는 운동과 공으로 하는 운동을 좋아해요.,I like sports related to running and balls.
1468,당신네 식당에는 복장 규정이 있나요?,Is there any dress code in your restaurant?
1469,앞으론 주문하면 바로 보낼 수 있어.,I can send immediately after an order from now on.
1470,아키하바라역에 가면 말씀 드리겠어요.,I'll tell you when we get to Akihabara Station.
1471,내일 중국 회사가 문을 열 것이에요.,"Tomorrow, the chinese company will open."
1472,좌석 벨트를 하지 않고 사고가 나면 어떻게 될까요?,What if we have an accident without seat belts on?
1473,그 남자 전화 번호 가르쳐 주지 않는 이유 무엇입니까?,What is the reason that you don't give him your number?
1474,그냥 먹던 물인데도 안되나요? 그냥 페트병에 담긴 물입니다.,"It's just water I've been drinking, isn't it? A water bottle."
1475,니가 보내 준 문서는 잘못된 문서이에요.,The document you sent is the wrong one.
1476,그럼 저희 구경하러 못 가는 건가요?,Does that mean we won't be able to go see it?
1477,너는 그 캐릭터에 정말 적절한 것 같다고 나는 생각했어요.,I thought you were proper for the character.
1478,우리가 요청한 사항은 바로 바로 정리해 주세요.,Please arrange the things we request immediately.
1479,나는 아프리카 아동에게 기부를 하고 싶어.,I would like to donate to children in Africa.
1480,이 투어에는 재미있는 곳이 포함되어 있습니까?,Are there interesting places included in this tour?
1481,"아뇨, 사실, 이해는 못 했어요.","No, as a matter of fact, I didn't understand."
1482,한국은 다양한 아름다운 문화를 가지고 있어.,There are various and beautiful cultures in Korea.
1483,택시를 이용할 사람은 1명이예요.,There will be one person who will take the taxi.
1484,송금이 이뤄졌는지 확인하고 싶어요.,I would like to know if deposit transfer is done.
1485,나이키 매장에서 더 이상 못 기다려 준다고 해요.,"Nike market said, they can't wait any more."
1486,"믿고,  실패가 불가능한 것처럼 행동하라.",Believe and act like you know no failure.
1487,아래와 같이 설정정보를 컴퓨터 위에 붙이 십시오.,Please stick the setting information on the computer as below.
1488,온라인 결재는 규제가 만만치 않을 거라 생각됩니다만? ,Don't you think that the regulations of online payment will be tough?
1489,나는 아픈 후로 몸무게가 2 킬로그램 빠졌어요.,"After I got sick, I lost two kilograms."
1490,할아버지 의자가 넘어져 있어요.,Grandfather's chair has fallen down.
1491,당신 덕분에 프로그램을 설치 문제를 잘 해결했어요.,"Thanks to you, I solved program installation problem."
1492,어떤 점이 우려되는 건가요?,What are you concerned about?
1493,변경됀 디자인 검토안은 첨부드리는 화일과 같아요.,The reviews of the changed design are attached.
1494,저번에 보니까 외국에서 코치인가 하고 있던데.,"Last time I saw, he was working as a coach in a foreign country."
1495,그런 행동을 통해 보람을 느낄 수 있었어.,It all felt worthy through those actions.
1496,그들이 제안한 조건을 받아들이는 거요.,We can accept the terms of their proposal.
1497,바로 예약할 수 있으니 신용카드 번호와 유효기간을 불러 주세요.,"You can make reservation right away, so please state your credit card number and expiration date."
1498,이 쥬스를 파인애플 쥬스로 바꿔 주세요.,Please change this juice to pineapple juice.
1499,친구가 도움이 필요하면 나는 기초 개념을 도와 줄 것이에요.,I will help with basic concepts when my friend needs help.
1500,이 세계가 크게 발전하지 못했을 것이에요.,The world wouldn't have developed that much.
1501,지금 그 일을 불평해봐야 아무 소용없어요.,It's no use complaining about it now.
1502,그곳도 늘 화창하고 맑은 날씨 였으면 좋겠어.,I hope the weather is always shiny and clear over there.
1503,현재의 저는 관광경영학과를 전공하고 있어요.,I am now majoring in business of tourism.
1504,다음중 맞지 않는 것을 고르시오.,Choose the option which is not true.
1505,혹시 다른 컬러 샘플을 만들어 놓은게 있습니까?,Do you have any samples in other colors as well?
1506,야! 우리가 여기서 만나네! 어떻게 온 거야? 여기 얼마나 있어?,"Wow, we happen to meet here? How did you come? How long will you stay?"
1507,다른 나라 친구들도 많이 사귀고 아주 재미있게 놀았다는데.,I heard he made many friends from other countries and had a lot of fun.
1508,그녀는 오후에 알레르기 테스트를 할 거니까?,Does she have allergy test in the afternoon?
1509,왼쪽 끝에 가면 물품을 찾을 수 있는 창구가 보일 거예요.,You will see a window where you can claim your goods at the end on the left side.
1510,그럼 혹시 탑승동에서 여기로 돌아와야 하는 상황이 생기면 어떡하나요?,What happens if I need to come back here from the boarding area?
1511,남자로서 자존심 다 버리고 하는 말이예요.,I'm saying this without any privilege as a man.
1512,동의하지 않으면 등록이 안 돼요.,You cannot register if you disagree.
1513,이제 그 기회를 다시 놓치지 않을 거야.,I will not miss that opportunity again now.
1514,다음 정거장이 갈아타는 지점이에요.,The next stop is the transfer point.
1515,우리의 성격은 더 좋은 방향으로 발달할 수 있어.,Our character can develop in a better way.
1516,이번에 가수에서 배우로 이직한 연예인 기억나?,Do you know the singer turned actor recently? 
1517,발이 너무 편해졌어요. 정말 감사합니다. 혹시 반납은 언제 해야 하나요?,It feels so much better. Thank you very much. When should I return them?
1518,친기업 정책이 나와야 우리에게 유리합니다.,Business-friendly policies would work in our favor.
1519,그 책을 안 가져온 것에 대해 사과하겠어요.,I owe you an apology for forgetting the books.
1520,그런데 예약과정에서 실수가 있었어요.,"By the way, I made a wrong reservation by mistake."
1521,좋겠다. 나도 중국음식 좋아하는데. 그리고 뭐니뭐니해도 입학식날에는 중국음식인데.,That's nice. I like Chinese food too. And people usually eat Chinese food on entrance ceremony day.
1522,그것에 관하여 의논하고 싶어서 만나기를 원해요.,So I want to meet you to discouss about it.
1523,회사에서 유심칩을 구매할 것입니다.,The company is going to purchase USIM chips.
1524,사원증 보여줄 필요 없이 카드를 찍기만 하면 되니까 편리해진 것 같습니다.,It’s convenient since we only need to scan the card without having to show the employee ID card.
1525,작은 집이지만 제가 직접 꾸민 집이예요.,And i live in the house built with two floors.
1526,저희 부모님의 추억을 다시 한번 찾아 주셔서 감사해요.,Thank you for finding our parents' memories again.
1527,메세지를 보냈는데 확인조차 하지 않더라.,I sent a message but it wasn't even read.
1528,협력사와 계약 기간을 연장 하는 게 좋을 것 같습니다. ,I think we'd better extend the contract with our business partners. 
1529,아직 확실한 꿈을 정하진 않았지만 단지 막연한 꿈이에요.,I didn't make my dream clear yet it is just a vague dream.
1530,당신은 세부에 친한 친구가 있나요?,Do you have a close friend in Cebu?
1531,계산을 정말 신속하게 잘 해 주시네요.,You certainly are an efficient checker.
1532,아니면 사용가능하게 제작할수 있습니까?,Or can you make it so it can be used?
1533,시의 행사를 소개한 책자가 있으십니까?,Do you have a guidebook for events in the city?
1534,#요세미티# 국립공원 투어를 예약하고 싶어서 왔습니다.,I came because I wanted to reserve a #Yosemite# National Park tour. 
1535,아침에는 사람이 너무 많아서 전철은 별로예요.,I don't like subway trains because there are so many people in the morning.
1536,그래서 덕분에 지금까지 중에 최고의 수련회일 수 있었어.,"Thanks to you guys, it could be the best training camp ever."
1537,건물 밖으로 나가면 매표소가 보일 거예요.,"If you go out of the building, you'll see the ticket office."
1538,그래서 병원에 갔지만 소용이 없었어.,So I went to the hospital but it was good for nothing.
1539,다들 이번 그룹 과제 너무 수고 많았다. 그런 의미에서 내가 한턱 쏠게.,Thanks for all for your hard work on this group project. I'll treat you guys.
1540,저는 1학년 때부터 빨리 졸업하고 싶은 마음이 컸어요.,I always wanted to graduate early since my freshman year.
1541,"아니요, 제집 주변에 지하철역이 없어서 버스가 더 빨라요.","No, there aren't any subway stations around my neighborhood so the bus is faster. "
1542,"네, 이탈리아에서 예약하면 2배 정도 비쌉니다.","Yes, it's about twice the price if you make reservations in #Italy#. "
1543,"한번 검토해 보시고, 의견 주시면 감사드리겠어요.","Please take a look at it, and provide us with your feedback."
1544,2학기 수업이 다 끝나서 교수님이 술을 사주셨거든.,The professor took us out for drinks because the classes for the 2nd semester ended.
1545,나도 예전에 그런 생각 했다가 포기한 적이 있었지.,I too once thought about it but gave up the idea.
1546,이것과 저것의 동시 사용을 검토해요.,We review the use of this and that at the same time.
1547,나는 계속 채팅 창만 보고 있어.,I'm just looking at the chat room.
1548,하얼빈의 겨울은 아주 춥다고 들었어요.,I was told that it's very cold in winter in Harbin.
1549,나는 올해 영어 공부를 열심히 하자고 다짐했어요.,I decied to study English hard this year.
1550,이것이 인생의 기쁨과 인생의 슬픔이예요.,This is the joy of life and sadness of life.
1551,나중에 월급을 받으면 살 것이에요.,I will buy it when I get a salary later.
1552,인터뷰가 끝난 후 결과는 언제 나오나요?,When will the result be announced after the interview?
1553,사진과 같은 디자인의 제품인가요?,Is it the product with the same design in the photo?
1554,"즉, 한 개의 주문은 불필요해요.","That is, one order is unnecessary."
1555,제 생각엔 기내식을 먹고 체한 것 같네요. 일단 소화제를 가져다드릴게요.,I think you have an upset stomach from eating the flight meal. I will bring a digestive medicine first.
1556,발표 끝나고 질의응답 시간이 있었으면 더 좋았을 텐데.,It would have been better if there was a Q&A session after the presentation.
1557,우선 저는 웹사이트로 사업을 시작하려고 해요.,"First, I want to start a business with a Web site."
1558,"맞아요, 여유 있게 환전해서 와야 해요.","That's right, you need to come with a sufficient amount of exchanged currency."
1559,나는 인터넷 중독이 나쁘다고 생각해요.,I think internet addiction is bad.
1560,한국은 정말 드라마의 강국인 것 같아. ,Korea is such a strong country when it comes to dramas.
1561,별 건 아니지만 저번에 좋은 분 소개해주셔서 정말 감사했습니다.,It is not much but thanks for introducing a nice person to me.
1562,나는 지금부터 내 강아지를 소개 할 것이에요.,I will introduce my puppy from now on.
1563,부정적인 후기도 있으나 대부분 긍정적으로 기사를 작성하였습니다.,"There are some negative reviews, but most of the articles were positive."
1564,여행 스케쥴을 다시 선택해야 해요.,We have to reschedule our trip plan.
1565,비즈니스석으로 시애틀 왕복 티켓 3장을 예약하고 싶습니다.,I would like to reserve 3 round trip tickets to Seattle in business class.
1566,제 남편은 항상 이것 저것에 대해 불평을 해요.,My husband is always complaining about this or that.
1567,목 옆에 묻어 있는 거 보이시나요?,Do you see the stain on the side of the neck?
1568,나는 에티켓을 매우 중시하는 사람이예요.,I consider etiquette very important.
1569,아이가 음식을 많이 먹어야 겠어요.,It seems like the child needs to eat a lot more.
1570,그러면 혹시 비치타월도 무료로 사용할 수 있나요?,"Can I also use beach towels for free, too?"
1571,사진으로 볼때는 실기를 연습 삼아 칵테일을 만든 것 같아요!,It looks like you made a cocktail as practice in the photo!
1572,내 생각에는 편하게 놀려면 차를 렌트하는 게 제일 나아.,I think it's best to rent a car if you want to travel comfortably.
1573,과학은 나도 잘 모르는데. 어떤 발표길래 그러니?,I don't know much about science. What kind of presentation is it?
1574,"네, 공원 입구마다 자전거를 빌릴 수 있는 곳이 있습니다. ","Yes, there are rental places at every entrance of the park. "
1575,항공권 예약번호와 성함 좀 확인해 주시겠어요?,"May I have your ticket reservation number and name, please?"
1576,그건 어려울 것 같아요. 이미 잡혀 있는 회의들이 많아서요. ,I don't think that's going to be easy. There are a lot of meetings already scheduled.
1577,당신에게 잘해 주고 싶어도 잘 해줄 수가 없네요.,I cannot be nice to you eventhought I want to.
1578,"그러셨군요, 한 달 뒤에 다시 오시면 그때 바로 드리겠습니다.","I see, if you come next month I will give it to you right away."
1579,일본에서 문신은 조직 폭력배들과 관련이 있어요.,"In Japan, tattoos are associated with the mob."
1580,도쿄를 대표하는 상업 지구로 급부상 중이에요.,It's rising as a representative commercial district in Tokyo.
1581,3일 뒤 있을 출장 시 필요한 업무자료가 있을까요?,Is there any work data that' necessary for the business trip 3 days later?
1582,현재 당신의 비밀번호 오류 횟수를 초기화 했어요.,We reset the number of your password error counts.
1583,게임삭제시 게임데이터를 불러올수 있어요.,"When deleting a game, you can retrieve the game data."
1584,부탁하는 자세가 그따위인데 들어 주고 싶겠니?,"With the kind of attitude, you're asking. why would I want to listen?"
1585,투표해서 멤버 뽑는 프로그램 한번도 본 적 없어?,Haven't you ever seen a program to vote for a member?
1586,웬만한 닭 요리는 다 있나 봐요?,Almost all the chicken meals are here?
1587,비빔밥이랑 불고기라고 하네.,I heard it's Bibimbap and Bulgogi.
1588,대구는 남한의 경상북도에 위치하고 있어.,Daegu is located in South Korea's North Gyeongsang Province.
1589,제가 로비에 가서 알아보겠습니다.,I will go to the lobby and check.
1590,나가서 고생하며 돌아 다니는 것 보다 낫죠.,It's better than wandering outside and troubling myself.
1591,다리가 튼튼하지 않아서 불안해요.,I am nervous that legs are not strong.
1592,하와이에 사는 친구를 방문하기로 했어요.,I'm going to visit my friend in Hawaii.
1593,승객은 안전벨트를 하지 않아도 됩니까?,Is it OK for passengers to not wear a seatbelt?
1594,너의 여행 일정에 따라 좋은 여행이 달려 있어.,"Depending your itinerary, it can be a good travel or not."
1595,"두번째,급한일이 생길 수도 있어.","Secondly, there can be an emergency."
1596,"7월 20일쯤에는 세미나 일정상, 도쿄에 있을 예정입니다.","Due to the seminar schedule, I will be in Tokyo around July 20th.        "
1597,"네, 알겠습니다. 지금 바로 작성해서 제출하도록 하겠습니다.","Yes, sir. I'll write and submit it right away."
1598,그런 사고가 난 것은 제 잘못이에요.,It's my fault that the accident happened.
1599,나는 우리 회사에서 2 년 째 귀염둥이 막내예요.,I have been the youngest one for two years in my office.
1600,나는 정말 작업 시간이 감소되기를 희망해요.,I really hope the work hours are reduced.
1601,파티 콘셉트가 검은색인가요? 흥미롭네요.,Is the party concept black? That's interesting.
1602,"처음에는 외로웠는데, 이제는 친구들과 잘 지내고 있습니다.",I was lonely at first but now I am doing well with my friends.
1603,다음 달로 예약한 항공권을 취소해야 할 것 같아요.,I think I'll have to cancel my flight reservation for next month.
1604,협상이 그렇게 빨리 진행될 거라고 생각하지 못했거든요.,I didn't think the negotiations would progress so quickly.
1605,재가 대학생활을 하면서 가장 많이 얻게 된 것은 책임감 이예요.,What I gained from my college life is the responsibility.
1606,너와 네 딸에게 최상의 결정을 하길 바래.,Hope you make the best decision for you and your daughter.
1607,출근 시간에 지하철 탈 때 제발 사람들이 뒤에서 밀지 않았으면 좋겠어.,I want people not to push me from the back when taking the subway during the morning rush hours.
1608,야! 너 주원이 맞지? 혹시 나 기억나? 같은 초등학교!,"Hey! You are Joo Won, right? Do you recognize me? I was in the same elementary school as you!"
1609,두 가지 아이템 주문 내용을 알고 계시나요?,Do you know the content of order for the two items?
1610,그리고 서로의 문화를 공유하고 싶어요.,And I want to share culture of each other.
1611,잠시만 기다려주세요. 알아보고 알려드리겠습니다. ,Wait a second. Let me check and tell you.
1612,나 졸업 파티 때 입을 옷이 없어.,I do not have clothes to wear for the graduation ceremony.
1613,편지를 지금 읽고 서명 하시겠습니까?,Would you like to read and sign the letter now?
1614,이것들을 어떻게 사용하면 되죠?,How do I use these?
1615,"네, 그럼 알아보고 내일 연락드리겠습니다.","Okay, I will check and let you know about it tomorrow."
1616,신상품이 인기가 많아서 다시 제고를 확인해보아야 합니다.,I need to check the storage again as the new product is very popular.
1617,진짜 얼마 만에 이겨 본 거냐. 한 달은 된 거 같아.,It's been a long while since we won. I think it's been a month.
1618,중국에서 마지막으로 사고 받은 잔돈이에요.,This is the spare change I received after my last purchase in China.
1619,내가 당신과의 결혼을 취소했으니까요.,It was because I cancelled our wedding.
1620,오늘은 사진이 아닌 진짜 얼굴을 봐서 행복해요.,I am so happy to finally see your real face instead of photos.
1621,그거 혼자 사는 아들을 둔 엄마들이 하는 프로그램인가보다.,I guess that's a program played by mothers with sons living alone.
1622,"맞습니다, 가까이에 가면 관광객이 많아서 바로 한눈에 알아볼 거에요.","That's right, and, if you get closer, you'll recognize it at once because there are many tourists."
1623,하지만 당신에게 거짓 없이 진심으로 할 것이예요.,"But to you, I will be sincere with no lies."
1624,언제 스웨덴으로 돌아 갈 예정입니까?,When are you going back to Sweden?
1625,반찬이 정갈하게 나와 손님 접대에서 적합해요.,"The side dishes are neat, perfect for greeting guests."
1626,이번주 일요일 투어를 예약하시려면 예약금이 필요합니다.,I wonder if the tour includes breakfast or lunch.
1627,나는 지금 이것만으로도 만족해요.,I am satisfied enough with this now.
1628,아니면 간단하게 순대만 드실 건가요?,Or are you just going to have Soondae?
1629,인문학적 지식을 쌓기 위해 추천해줄 만하신 책이 있을까요?,Is there any book that you could recommend to build up knowledge of humanities?        
1630,이 장벽을 어떻게 극복하고자 하십니까?,How do you plan to overcome this challenge?
1631,고요할 때 집중을 더 잘 할 수 있어.,I can concentrate better when there is no noise around me.
1632,당신 나라의 대표적인 기념품은 뭐가 있습니까?,What are some typical souvenirs from your country?
1633,안녕하세요. 혹시 공항에서 제공되는 공항버스가 있나요?,Hello. Is there an airport bus from the airport?
1634,댈러스로 가는 비행기를 예매하고 싶습니다.,I'd like to reserve a plane ticket to Dallas.
1635,다음주 수요일 저녁 시간 괜찮아요.,I'm ok next Wednesday dinner time.
1636,영어를 잘 하지 못해 틀린 게 많을 것이예요.,I must got many things wrong because I am not good at English.
1637,한국에서 확인할 방법이 없어 메일 드려요.,I am mailing you because there's no way to confirm.
1638,해당 맵의 전체 모습을 볼 수 있는 관찰모드를 추가했어요.,Added observe mode in which the entire map could be watched.
1639,당신은 나에게 사랑을 주는남자야.,And you are my man who gives me love.
1640,요즘 학교 커뮤니티에서 사이버 불링이 너무 많이 일어나는 것 같아. ,Cyberbullying is a big problem in the school community.
1641,다른 지점보다 훨씬 저렴하네요. 오늘 아무 때나 방문해도 될까요?,It's much cheaper than other stores. May I visit anytime today?
1642,그 도둑은 잡히지 않기 위해 바다를 건너기로 했어요.,The thief chose to cross the ocean to not be caught.
1643,저희는 재미있는 칵테일이 많아요.,We have lots of interesting cocktails.
1644,저는 이런 환경 밑에서 자연스럽게 미술에 대한 진로를 정할 수 있었어요.,In this circumstance I naturally mapped out my life with art.
1645,하지만 내 일렉기타는 나에게 많은 이유로 특별해요.,"However, my guitar is so special to me for many reasons."
1646,우리는 원산지 증명이 현재 필요가 없어.,We don't need to prove the country of origin.
1647,생각보다 정말 멀군요. 그럼 택시 정류장은 어디 있나요?,It is farther than I thought. Where is a taxi stop then?
1648,자기가 어떤 언어에 관해 관심이 있는지에 따라 다르지 않을까?,I guess it depends on which languages you are interested in.
1649,양쪽으로 책이라고 표시해 주십시오.,"Please write ""books"" on both sides."
1650,나는 너가 항상 건강하고 이쁘게 자라길 바래.,I hope you always grow healthy and lovely.
1651,야채샐러드가 아직도 오지 않았어요.,My vegetable salad hasn't come yet.
1652,정말 감사합니다. 그런데 저희가 예약한 디럭스 객실이 가장 좋은 방 아닌가요?,Thank you so much. But isn't the deluxe room the best room type?
1653,당신이 화장품 가격과 사진을 나에게 보내 줘.,Please send me the cost of cosmetics and its picture.
1654,계정 비밀번호에 관련된 메일도 받았고 로그인도 완료했어요.,I got the mail related to my ID password and logged in.
1655,일하기 전에 모든 책상을 닦아요.,I wipe everybody's desk before we start work.
1656,"아니요, 제 스피커는 그렇게 크지 않고 조금 더 작습니다.","No, my speaker isn't that big but a bit smaller. "
1657,노즐을 아래로 내려놓고 원형을 그리면서 펴발라 주세요.,Place the nozzle down and spread out while drawing a circle.
1658,우리는 테스트를 해보고 당신에게 결과를 알려주겠어요.,We will let you know the result after our test goes through.
1659,대답하기 싫으면 안하셔도 돼요.,Do not answer if you don't want to.
1660,반을 옮기는 데 필요한 점수가 몇 점이었죠?,What was the score required to move the class?
1661,비록 내가 힘들지만 그녀를 도울 것이에요.,I will help her although I am tired.
1662,내일 눈이 온다면 수업은 없어요.,"If it snows tomorrow, no class will be held."
1663,한때는 정식종목에서 제외되기도 했어요.,It had been ruled out in the formal event once.
1664,"그렇군요, 대행사가 원하는 가격이 우리 예산보다 아주 높나요?","I see, is the price the agency wants much higher than our budget?"
1665,발을 절단한 부위가 계속 아파요. 진통제를 주세요.,The part where my foot was amputated keeps hurting. Please give me painkillers.
1666,그래서 이것은 책에서 구입하기를 원해요.,"So for this one, I want to buy it from the book."
1667,마지막으로 이블로그의 인터뷰를 하게 되어서 영광이에요.,"At last, I am honored to have an interview of this blog."
1668,그래서 이들이 동요하거나 불안할 일은 없을꺼 같아요.,So they will never be shaken or feel uneasy.
1669,여기는 아침인데 거기는 저녁이잖아.,"It's morning here, but it's evening there."
1670,사실은 어제 게임을 하다가 늦게 자서 늦었습니다.,"To be honest, I was late because I was up playing games last night. "
1671,학생 들과 지내는 생활이 어떠세요?,How is the life spending time with students?
1672,일본과 한국은 페이스 북을 적게 사용해요.,Koreans and Japanese rarely use Facebook.
1673,당신이 추운지더운지 그리고 안전한 것인지 항상 걱정이예요.,"I'm worried about whether you're cold, hot and safe."
1674,당신이 주장을 한다면 충분한 근거가 필요해요.,If you insist on something you need enough evidence.
1675,그 사진 속의 사람 너 아니잖아.,That person in the photo isn't you.
1676,꼭 가격 인하를 하여 주시기를 부탁 드려요.,Please make some discount on the price.
1677,나는 어릴 적 그림 그리기를 좋아했어요.,I really like to draw since I was a kid.
1678,하지만 날 좋아하는 여자들은 많아.,But there are many women who like me.
1679,넌 너의 일을 하고 나는 나의 일을 해요.,You do your own work and I do my own work.
1680,오후수업을 위해서 각 교실로 갔어.,We got back to the classroom for having the afternoon lesson.
1681,그럼 책자에 있는 B 상품으로 교환하는 건 어떤가요?,Then how about exchanging it with product B in the booklet?
1682,노래들으며 회화 공부도 열심히 할께요!,I will study hard on speaking as I listen to the songs!
1683,나는 7 시에 일어나서 샤워를 해요.,I wake up at seven o'clock and take a shower.
1684,빠른 시일내에 발송되는게 중요해서요.,It's more important of being shipped quickly.
1685,당신의 질문에 적절한 대답이 되었기를 바래요.,I wish it would be an appropriate response to your question.
1686,"마지막으로는, 더욱 폭넓은 인간관계를 형성할 수 있을 것이예요.","Lastly, you can socialize with a wide range of people."
1687,너희 둘 사진을 봤더니나의 하루의 피로가 사라지네요.,"After seeing your pictures, my fatigue is gone."
1688,그중에 가장 유명한 것들을 소개해드리겠어요.,I'm going to introduce the most famous ones among them.
1689,당신과 좌석을 바꿔도 괜찮겠어요?,Do you mind if I changed seats with you?
1690,사장님이 휴가 허락해서 다행이에요.,You're lucky your boss lets you take a vacation.
1691,당신의 메세지를 보고서 정말 오랜 기간 동안 계속해서 고민을 했어요.,"After reading your messages, I have long thought about it."
1692,그것에 대한 그녀의 정당한 이유가 뭔가요?,What is her political reason for it?
1693,이 부분에 대해서는 대단히 유감스럽고 불쾌해요.,We are really disappointed and feel awfully disdained.
1694,하지만 수정 사항이 있을 수도 있어서 그러는데 시간이 더 필요하신가요?,But we might have to revise. Do you need more time?
1695,"오, 제 시계가 20분 빠르네요.","Oh, my watch is twenty minutes fast."
1696,이번주 토요일 삼성과 미팅 예정이예요.,We are having a meeting with Samsung this Saturday.
1697,제가 칠면조 요리하는 법을 배워야 할 거라는 말인가요?,Does that mean I'll have to learn how to cook a turkey?
1698,점심으로 매운 양념 문어를 먹었어.,I ate spicy marinated octopus for lunch.
1699,아파서 한참 울다가 지금 지친 상태라 울지 않을 거예요.,They cried for a long time because they were in pain but they shouldn't be crying now because they are worn out.
1700,유행하는 거였기 때문에 석달 전에 하나 구입했어요.,I bought one three months ago because it was in fashion.
1701,차키가 어디에 있는지 나는 몰라.,I don't know where the car key is.
1702,그래서 나는 조금 다른 유형이라고 생각해요.,So I think it's a little different type.
1703,제가 생각했던 것보다 동작이 굉장히 어렵네요.,The movement is a lot harder than I thought.
1704,지금 당장 신청해도 받을 수 있는 거야? 미리 신청해야 하는 것 아니고?,Can I get the cash right away? It's not something I have to request in advance?
1705,이 정보는 우리가 나아가야 할 방향을 제시 해요.,This information suggests the way we should go on.
1706,혹시 이 부분 이해했으면 설명 좀 해줄 수 있어?,Do you happen to understand this part? Could you explain?
1707,"그런 것 같고, 이런 곳이 숨어있는지 몰랐네. ","It seems so, and I didn’t know there was a hidden place like here."
1708,그렇군요. 죄송합니다. 지금 바로 창문을 열게요.,I see. I am sorry. I will raise the window shade right now.
1709,그럼 어제 업무만 마무리하시고 오늘 업무는 내일까지 끝내세요.,Then just complete yesterday's duties and finish today's work by tomorrow.
1710,축제때 부스활동 같이 많은 활동을 했어요.,"In festival, I did a lot of work such a booth activity."
1711,나는 부산 현장에서 인터넷을 위해 연필을 사용하고 있어요.,I'm using pensil to use internet at Busan sight.
1712,이것은 전화위복의 계기일지도 몰라.,Maybe it's a blessing in disguise.
1713,나의 짐은 호텔에 두고 사무실에 가면 됩니까?,Can I leave my luggage and go to office?
1714,"택시 아저씨, 여기 적힌 주소로 가주시겠습니까?","Sir, could you take me to this address here?"
1715,여기까지 오셨으니 제가 전화해서 문의해 드리겠습니다. 잠시만 기다려 주세요.,"Now that you're here, let me call them for you. Please wait."
1716,그녀를 대신하여 제가 업무를 담당하게 되었어요.,I came to be in charge of this work instead of her.
1717,감사합니다. 가이드 없이 자유 관람 할거에요. 총 금액이 얼마죠? ,Thank you. We will like to view it freely without a guide. What is the total amount?
1718,밤에는 위험하니 일찍 귀가하세요.,Go home early since it's dangerous at night.
1719,기후변화로 인한 긍정적인 면도 있을것이에요.,There might be a positive aspect because of climate change.
1720,내가 필리핀에 가면 우리가 할일이 있잖아요.,"If I go to the Philipines, we have a work to do."
1721,네. 대구에서 서울로 가는 KTX를 타고 갈 예정입니다.,"Yes, I'm going to take KTX from Daegu to Seoul."
1722,파티하는 사진 좀 보내 주실래요?,Can you send me the pictures of the party?
1723,중앙에서 제어한다던데 경비실에 말해야 할 것 같아.,It's centrally controlled. We should tell the security office. 
1724,특별 가격이 빨간색으로 쓰여 있는 것을 봤어요.,I noticed the special sale prices are written in red ink.
1725,그 문제는 향후에 논의될 예정이예요.,The issue will be discussed later.
1726,임산부가 홍삼을 섭취해도 좋은가요?,Can a pregnant woman take ginseng?
1727,나는 종종 창의적인 것에 대해 생각해요.,I often think about creative things.
1728,당신을 한국에 초대하기 위해서 친구 들에게 부탁하고 있어.,I am asking my friends to invite you to Korea.
1729,"당신 의지가 확고하다면, 진행하도록 하죠.","I guess if you're determined, go ahead."
1730,생성한 분석 자료가 삭제되었어요.,Generated analysis data has been deleted.
